                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.558,                 1.2052,                 1.2439,                0.74713,                0.69369,                0.75907,                 0.4112,                   1.42,                0.93025,                 1.1371,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.4602,                0.98037,                 1.1679,                0.76874,                0.70841,                 0.7838,                0.44363,                 1.3749,                0.88451,                 1.1285,              0.0066299,              0.0066299,              0.0066299
                      3,                 1.4778,                 1.0083,                 1.1804,                0.75266,                0.70582,                0.76202,                0.41378,                 1.4676,                 0.9298,                 1.1711,              0.0098972,              0.0098972,              0.0098972
                      4,                 1.4971,                 1.0135,                 1.1908,                0.74846,                0.70641,                0.75432,                0.41286,                 1.4446,                0.94489,                 1.1732,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4713,                 0.9884,                 1.1761,                0.77061,                 0.7184,                0.78166,                0.43549,                 1.4189,                0.89072,                 1.1391,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.4373,                 0.9482,                 1.1605,                 0.7586,                0.72945,                0.78436,                0.43851,                 1.4119,                0.87284,                 1.1431,               0.009802,               0.009802,               0.009802
                      7,                 1.4139,                0.92296,                 1.1477,                0.77496,                0.73492,                 0.7963,                0.45111,                 1.3774,                0.85857,                 1.1281,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3847,                0.90233,                 1.1365,                0.77877,                0.73132,                 0.7946,                 0.4504,                 1.3778,                0.84442,                 1.1312,               0.009703,               0.009703,               0.009703
                      9,                 1.3753,                0.88137,                 1.1352,                0.78594,                0.74193,                0.80987,                0.47251,                 1.3361,                0.81843,                 1.1186,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.3541,                0.87676,                 1.1262,                0.77968,                0.74116,                0.80421,                0.46349,                  1.339,                0.81666,                 1.1193,               0.009604,               0.009604,               0.009604
                     11,                  1.338,                0.85957,                 1.1204,                0.78987,                0.75018,                0.81368,                0.46728,                 1.3448,                0.79688,                 1.1209,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.3279,                0.85455,                 1.1183,                0.78968,                0.74874,                0.81286,                 0.4771,                 1.3306,                0.80028,                 1.1091,               0.009505,               0.009505,               0.009505
                     13,                 1.3215,                0.84361,                 1.1114,                0.77984,                0.75667,                0.81291,                0.47613,                 1.3202,                0.77797,                 1.1039,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3073,                0.83265,                  1.104,                0.79033,                0.75962,                0.82367,                0.48626,                 1.3037,                0.77424,                 1.0978,               0.009406,               0.009406,               0.009406
                     15,                 1.2899,                0.82296,                 1.0938,                0.79171,                0.75696,                0.81689,                0.48456,                 1.2968,                0.77088,                 1.0906,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.2816,                0.81305,                 1.0954,                0.80057,                0.75849,                0.82298,                0.49291,                 1.2844,                0.75513,                 1.0989,               0.009307,               0.009307,               0.009307
                     17,                 1.2714,                0.80269,                 1.0874,                0.78414,                0.74119,                0.81709,                0.48016,                 1.3054,                0.77937,                 1.1046,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.2705,                0.80359,                 1.0904,                0.78674,                0.75844,                0.82611,                0.49191,                 1.2855,                0.75986,                 1.0884,               0.009208,               0.009208,               0.009208
                     19,                 1.2597,                0.79854,                 1.0843,                0.78824,                0.76964,                0.82667,                   0.49,                 1.2946,                0.75583,                 1.0887,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.2527,                 0.7814,                 1.0824,                0.79944,                0.76077,                 0.8286,                0.49229,                  1.287,                0.75514,                 1.0915,               0.009109,               0.009109,               0.009109
                     21,                 1.2478,                0.78157,                 1.0735,                0.79223,                0.76318,                0.83372,                0.49893,                 1.2728,                0.74887,                 1.0786,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.2426,                0.77809,                 1.0758,                0.80141,                0.75954,                0.82924,                0.50337,                 1.2589,                  0.741,                 1.0741,                0.00901,                0.00901,                0.00901
                     23,                 1.2284,                0.77083,                  1.073,                0.79889,                0.76286,                0.83108,                0.50411,                 1.2523,                0.74081,                 1.0747,              0.0089605,              0.0089605,              0.0089605
                     24,                  1.222,                0.76473,                 1.0674,                0.79767,                0.76934,                0.83192,                0.50297,                 1.2697,                0.73998,                 1.0794,               0.008911,               0.008911,               0.008911
                     25,                 1.2151,                0.76402,                 1.0646,                0.80856,                0.76941,                 0.8363,                0.50416,                  1.258,                0.73743,                 1.0751,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2171,                0.75583,                 1.0685,                0.79359,                 0.7661,                0.82958,                 0.5037,                 1.2539,                0.73577,                 1.0817,               0.008812,               0.008812,               0.008812
                     27,                 1.2061,                0.75181,                 1.0609,                0.80473,                0.76256,                0.83438,                0.50589,                 1.2476,                0.72899,                 1.0645,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.1986,                0.74964,                 1.0569,                0.79475,                0.77954,                0.83827,                0.51097,                 1.2414,                0.72332,                 1.0648,               0.008713,               0.008713,               0.008713
                     29,                 1.1969,                 0.7506,                 1.0551,                0.80664,                0.76949,                0.84036,                0.50819,                 1.2476,                0.72394,                 1.0662,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.1902,                0.73501,                  1.055,                0.79685,                0.77872,                0.84148,                0.50968,                  1.245,                0.72016,                 1.0667,               0.008614,               0.008614,               0.008614
                     31,                 1.1834,                0.73544,                  1.053,                0.80048,                0.77759,                 0.8402,                0.51327,                 1.2389,                 0.7221,                 1.0648,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.1806,                0.73329,                 1.0501,                0.80542,                0.77354,                0.84134,                0.51067,                 1.2447,                0.71591,                 1.0651,               0.008515,               0.008515,               0.008515
                     33,                 1.1764,                0.73097,                 1.0485,                0.79258,                0.77494,                0.83835,                0.51622,                 1.2239,                0.71772,                 1.0589,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.1719,                0.72413,                 1.0455,                0.80552,                0.76979,                0.84032,                0.51768,                 1.2334,                0.71517,                 1.0604,               0.008416,               0.008416,               0.008416
                     35,                 1.1604,                0.71856,                 1.0401,                0.80297,                0.78084,                0.84457,                0.51698,                 1.2354,                0.71235,                 1.0646,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.1639,                0.72099,                 1.0418,                0.80008,                 0.7815,                0.84401,                0.51436,                  1.234,                0.71245,                 1.0613,               0.008317,               0.008317,               0.008317
